,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
410,410,2021-07-26,24.4,3,-0.4,▼,-1.0,-1.6,-4.0,1122.0,speed_holster
488,488,2021-07-26,16.5,10,-0.3,▼,57.0,-1.8,-16.0,4241.0,sprint_boost
463,463,2021-07-26,6.2,4,0.3,▲,-13.0,5.1,-2.0,1882.0,stand_united
488,488,2021-07-26,20.6,49,0.7,▲,114.0,3.5,14.0,14717.0,steel_charge
488,488,2021-07-26,8.7,21,-0.6,▼,-9.0,-6.5,0.0,10976.0,swift_momentum
488,488,2021-07-26,15.5,143,-0.2,▼,-5.0,-1.3,-47.0,49132.0,adaptation
340,340,2021-07-26,18.7,8,0.0,-,40.0,0.0,4.0,2850.0,medi_ray
338,338,2021-07-26,71.8,23,5.0,▲,53.0,7.5,14.0,4258.0,primed_rubedo_lined_barrel
268,268,2021-07-26,197.4,5,-0.8,▼,35.0,-0.4,0.0,2749.0,primed_rubedo_lined_barrel(max)
341,341,2021-07-26,4.5,19,-0.3,▼,1.0,-6.2,0.0,5798.0,animal_instinct
341,341,2021-07-26,8.7,13,0.1,▲,10.0,1.2,0.0,3401.0,link_armor
341,341,2021-07-26,10.3,16,-0.3,▼,-17.0,-2.8,-20.0,5356.0,link_health
329,329,2021-07-26,6.6,5,0.0,-,2.0,0.0,-1.0,1572.0,link_shields
339,339,2021-07-26,62.1,12,0.0,-,30.0,0.0,-14.0,2899.0,primed_animal_instinct
266,266,2021-07-26,202.0,7,0.0,-,13.0,0.0,1.0,1617.0,primed_animal_instinct(max)
307,307,2021-07-26,40.9,1,1.9,▲,16.0,4.9,-6.0,1244.0,primed_pack_leader
231,231,2021-07-26,153.0,2,15.7,▲,0.0,11.4,1.0,641.0,primed_pack_leader(max)
336,336,2021-07-26,48.7,3,1.9,▲,25.0,4.1,-2.0,1637.0,primed_regen
252,252,2021-07-26,156.0,5,-1.7,▼,-17.0,-1.1,3.0,874.0,primed_regen(max)
293,293,2021-07-26,65.0,8,2.3,▲,18.0,3.7,3.0,1093.0,sacrifice
